#,单词,音标,解释,笔记
164,"visual","英:/ˈvɪʒuəl/ 美:/ˈvɪʒuəl/","adj. 视觉的, 看得见的

副 词:  
visually",
165,"visitor","英:/'vɪzɪtə/ 美:/'vɪzɪtɚ/","n. 访问者，参观者；视察者；候鸟",
166,"visiting","/'vizitiŋ/","n. 拜访,访问",
167,"visit","英:/'vɪzɪt/ 美:/'vɪzɪt/","- n. 访问；参观；逗留
- vt. 参观；视察；访问
- vi. 访问；暂住；闲谈


时 态:  
visited, visiting, visits",
168,"visionary","英:/ˈvɪʒənri/ 美:/ˈvɪʒəneri/","- adj. 有眼光的，有远见的
- 空想的，幻想的，不切实际的
- n. 有幻觉的人
- 好幻想的人；空想家
- 有远见卓识者",
169,"vision","英:/ˈvɪʒn/ 美:/ˈvɪʒn/","- n. 视力；眼力；幻象；美景；想象力
- vt. 显现；梦见；想象


时 态:  
visioned, visioning, visions 

形容词:  
visional

副 词:  
visionally",
170,"visible","英:/ˈvɪzəbl/ 美:/ˈvɪzəbl/","- adj. 明显的；看得见的；可得到的；现有的
- n. 可见物；进出口贸易中的有形项目


副 词:  
visibly",
171,"visibility","英:/ˌvɪzəˈbɪləti/ 美:/ˌvɪzəˈbɪləti/","- n. 能见度，视程
- 可见物；清晰度",
172,"virtually","英:/ˈvɜːtʃuəli/ 美:/ˈvɜːrtʃuəli/","adv. 实际上; 事实上",
173,"virtual","英:/ˈvɜːtʃuəl/ 美:/ˈvɜːrtʃuəl/","adj. 实质上的, 事实上的, 实际上的, 虚拟的

名 词:  
virtuality",
174,"violin","英:/vaɪə'lɪn/ 美:/ˌvaɪə'lɪn/","n. 小提琴；小提琴手


名 词:  
violinist",
175,"vintage","英:/ˈvɪntɪdʒ/ 美:/ˈvɪntɪdʒ/","- n. (优良品牌的)葡萄酒
- 收获葡萄酿酒(的期间或季节)
- 一个收获季节采得的葡萄(所酿的酒)
- 酿酒;酿造年份
- 某年代的产品;年代
- adj. (葡萄酒)上等的
- 最佳的;最典型的
- 古色古香的;古老的",
176,"village","英:/'vɪlɪdʒ/ 美:/'vɪlɪdʒ/","n. 村庄；村民；（动物的）群落",
177,"vigorous","英:/ˈvɪɡərəs/ 美:/ˈvɪɡərəs/","adj. 有力的；精力充沛的


副 词:  
vigorously

名 词:  
vigorousness",
178,"viewer","英:/'vjuːə/ 美:/'vjuɚ/","- n. 观看者;观察者;观众
- 电视观众
- 看片机(把幻灯片等放大观看的装置)",
179,"viewable","英:/'vjuːəbl/ 美:/'vjʊəbl/","adj. 看得见的",
180,"view","英:/vjuː/ 美:/vjuː/","- n. 看
- 视力；视野，视线
- 景色，风景
- 风景画，风景照片
- 观察某人[某事物]的特定机会
- 看法，意见
- 考虑，思量；思考的方式
- vt. 认为，考虑
- 观看
- 〈正〉查看

时 态:  
viewed，viewing，views 

形容词:  
viewable",
181,"video","英:/'vɪdɪəʊ/ 美:/'vɪdɪo/","- n. 磁带录像，录像
- 录像磁带，录像带
- 录像机
- adj. 电视的；视频的；影像的
- 用录像磁带[录像带]的",
182,"vicinity","英:/vəˈsɪnəti/ 美:/vəˈsɪnəti/","- n. 近, 接近, 密切
- 附近, 邻近",
183,"vibrant","英:/ˈvaɪbrənt/ 美:/ˈvaɪbrənt/","- adj. 振动的；颤动的；响亮的
- 充满生气的；精力充沛的；兴奋的
- (尤指颜色)鲜明的，醒目的",
184,"via","英:/ˈvaɪə/ 美:/ˈvaɪə/","prep. 取道，通过；经由",
185,"vexed","英:/'vekst/ 美:/vɛkst/","adj. 为难的；焦急的；生气的，烦恼的，恼怒的",
186,"vest","英:/vest/ 美:/vest/","- n.【英式】（衬衣等里面贴身穿的）背心，汗衫
- 【美式】坎肩；（外面穿的）背心
- v. 授予，赋予，给予（合法权利或权力）；使合法拥有（土地或财产）

时 态:  
vested, vesting, vests",
187,"vessel","英:/ˈvesl/ 美:/ˈvesl/","n. 容器，器皿；船，舰；脉管，血管",
188,"version","英:/ˈvɜːʃn/ 美:/ˈvɜːrʒn/","- n. 变体；变种；型式
- （从不同角度的）说法，描述
- （电影、剧本、乐曲等的）版本，改编形式，改写本",
189,"verify","英:/ˈverɪfaɪ/ 美:/ˈverɪfaɪ/","vt. 核实；查证


时 态:  
verified 
verifying, verifies  

名 词:  
verifier",
190,"verification","英:/ˌverɪfɪˈkeɪʃn/ 美:/ˌverɪfɪˈkeɪʃn/","- n. 证明；证实
- (指通过经验)证明(某命题正确)
- 核实，查对；查清(指履行武器协议中所规定稽核程序的过程)",
191,"verbal","英:/ˈvɜːbl/ 美:/ˈvɜːrbl/","- adj. 词语的，言语的，字句的
- 口头的
- 动词的
- n. 非谓语动词；非限定动词

副 词:  
verbally",
192,"venue","英:/ˈvenjuː/ 美:/ˈvenjuː/","- n. 聚集地点;会场;(尤指)体育比赛场所
- 犯罪地点;审判地
- 争论中所持的立场",
193,"venture","英:/ˈventʃə(r)/ 美:/ˈventʃər/","- vt. 敢于
- vi. 冒险；投机
- n. 冒险；风险；企业


时 态:  
ventured, venturing, ventures 

名 词:  
venturer",
194,"vendor","英:/ˈvendə(r)/ 美:/ˈvendər/","n. 小贩；卖主；自动售货机",
195,"vending machine","英:/ˈvendiŋ/ 美:/ˈvɛndɪŋ/","自动贩卖机，自动售货机",
196,"vender","英:/'vendə/ 美:/'vɛndɚ/","n. 卖主,售卖者",
197,"velvet","英:/ˈvelvɪt/ 美:/ˈvelvɪt/","- n. 天鹅绒，丝绒；天鹅绒似的东西
- adj. 天鹅绒的",
198,"vehicle","英:/ˈviːəkl/ 美:/ˈviːəkl/","- n. 交通工具, 车辆
- 传播媒介, 手段",
199,"vegetarian","英:/ˌvedʒəˈteəriən/ 美:/ˌvedʒəˈteriən/","- n. 吃素的人；素食者；素食主义者
- 食草动物
- adj. 素食者的
- 只有蔬菜的",
200,"vegetable","英:/'vedʒtəb(ə)l/ 美:/'vɛdʒtəbl/","- n. 蔬菜
- 生活单调的人; 植物人",
201,"vastly","/'va:stli/","- adv. 极大地
- 广阔地;深远地",
202,"vast","英:/vɑːst/ 美:/væst/","adj. 巨大的, 广大的, 广阔的, 大量的

比较级:  
vaster, vastest 

副 词:  
vastly

名 词:  
vastness",
203,"vase","英:/vɑːz/ 美:/veɪs/","n. 花瓶；瓶",
204,"vary","英:/ˈveəri/ 美:/ˈveri/","- vi. 变化；违反；[生]变异
- vt. 改变；使多样化；[音]变奏


时 态:  
varied 
varying, varies",
205,"various","英:/ˈveəriəs/ 美:/ˈveriəs/","adj. 各种各样的；多方面的


副 词:  
variously",
206,"variety","英:/vəˈraɪəti/ 美:/vəˈraɪəti/","- n. 品种, 种类
- 种种, 各种
- 变化, 多样化",
207,"variable","英:/ˈveəriəbl/ 美:/ˈveriəbl/","- adj. 易变的，多变的；可变的；[生]变异的，畸变的；[数]变量的
- n. 可变物，可变因素；[数]变量


副 词:  
variably",
208,"van","英:/væn/ 美:/væn/","- n. 先锋；厢式货车；[计]增值网
- vt. 用车搬运

Van范(男子名)

时 态:  
vanned, vanning, vans",
209,"valued","英:/'væljuːd/ 美:/'væljʊd/","adj. 贵重的；宝贵的；经估价的；重要的",
210,"value","英:/'væljuː/ 美:/'vælju/","- n. 价值, 价格
- 实用性, 有价值, 重要性
- 价值标准, 价值观, 职业道德, 行业准则
- vt. 估价
- 重视, 尊重

时 态:  
valued, valuing, values 

名 词:  
valuer",
211,"valuable","英:/'væljʊb(ə)l/ 美:/'væljuəbl/","- adj. 贵重的；有价值的；可估价的
- n. 贵重物品


名 词:  
valuableness

副 词:  
valuably",
212,"valley","英:/ˈvæli/ 美:/ˈvæli/","n. 流域；山谷；溪谷",
213,"valid","英:/ˈvælɪd/ 美:/ˈvælɪd/","adj. 正当的；有效的，有根据的


副 词:  
validly",
214,"valet","英:/ˈvælɪt/ 美:/ˈvælɪt/","- n. 贴身男仆；用车的人；伺候客人停车
- vt. 为...管理衣物；替...洗熨衣服
- vi. 清洗汽车；服侍


时 态:  
valeted, valeting, valets",
215,"vailable","","",
216,"vacation","英:/veɪˈkeɪʃn/ 美:/veɪˈkeɪʃn/","- n. 假期；（房屋）搬出
- vi. 休假，度假


时 态:  
vacationed, vacationing, vacations",
217,"vacate","英:/və'ket/ 美:/veɪ'keɪt/","- vi. 空出，腾出；辞职；[美][口]休假
- vt. 空出，搬出；取消；使撤退


时 态:  
vacated, vacating, vacates",
218,"vacant","英:/ˈveɪkənt/ 美:/ˈveɪkənt/","adj. 空的；空闲的；空缺的；空虚的；茫然的


副 词:  
vacantly",
219,"vacancy","英:/ˈveɪkənsi/ 美:/ˈveɪkənsi/","- n. 空房间
- 空虚；空白
- 空缺；空职；空额
- (心灵的)空虚；失神，心不在焉",
220,"utmost","英:/ˈʌtməʊst/ 美:/ˈʌtmoʊst/","- n. 极限；最大可能
- adj. 极度的；最远的",
221,"utilize","英:/ˈjuːtəlaɪz/ 美:/ˈjuːtəlaɪz/","vt. 利用


时 态:  
utilized, utilizing, utilizes 

形容词:  
utilizable

名 词:  
utilization

名 词:  
utilizer",
222,"utensil","英:/juː'tens(ə)l/ 美:/jʊ'tɛnsl/","n. 用具，器皿",
223,"usually","/'ju:ʒuəli/","adv. 通常, 平常, 惯常地",
224,"usual","英:/'juːʒʊəl/ 美:/'juʒuəl/","adj. 经常的，通常的；寻常的，惯常的

副 词:  
usually

名 词:  
usualness",
225,"user","英:/ˈjuːzə(r)/ 美:/ˈjuːzər/","- 用户
- 使用者",
226,"useless","英:/ˈjuːsləs/ 美:/ˈjuːsləs/","- adj. 无用的, 无价值的, 无效的
- 差劲的, 不怎么样的

副 词:  
uselessly

名 词:  
uselessness",
227,"useful","英:/'juːsfʊl/ 美:/'jusfl/","adj. 有用的，有益的；有帮助的


副 词:  
usefully

名 词:  
usefulness",
228,"used","英:/juːzd/ 美:/just/","- adj. 习惯的；二手的，使用过的
- v. 用；习惯（use的过去式）",
229,"use","英:/ju:z/ 美:/juz/","- n. 使用；用途；发挥
- vt. 利用；耗费
- vi. 使用，运用


时 态:  
used, using, uses",
230,"us","英:/ʌs/ 美:/ʌs/","pron. 我们

The objective case of 
we",
231,"urgently","英:/'ə:dʒəntli/ 美:/ˈə..d ʒəntlɪ/","adv. 急切地；迫切地；紧急地",
232,"urgent","英:/ˈɜːdʒənt/ 美:/ˈɜːrdʒənt/","adj. 紧急的；急迫的


副 词:  
urgently",
233,"urgency","英:/ˈɜːdʒənsi/ 美:/ˈɜːrdʒənsi/","- n. 紧迫;急迫;急事；紧要
- 催促;坚持",
234,"urge","英:/ɜːdʒ/ 美:/ɜːrdʒ/","- vt. 力劝；敦促
- 鼓励；极力主张
- 驱策，促使
- n. 强烈的愿望

时 态:  
urged，urging，urges",
235,"urban","英:/ˈɜːbən/ 美:/ˈɜːrbən/","adj. 城市的；住在都市的",
236,"upstairs","英:/ˌʌpˈsteəz/ 美:/ˌʌpˈsterz/","- adv. 在楼上, 往楼上
- adj. 楼上的",
237,"upscale","英:/ˌʌpˈskeɪl/ 美:/ˌʌpˈskeɪl/","- vt. 升高一级，升档；迎合(高层次消费者)
- adj. 高档的；高收入的；销售对象为高收入者的

时 态:  
upscaled，upscaling，upscalesalso",
238,"upright","英:/ˈʌpraɪt/ 美:/ˈʌpraɪt/","- adj. 正直的，诚实的；垂直的，直立的；笔直的；合乎正道的
- n. 竖立；垂直


副 词:  
uprightly

名 词:  
uprightness",
239,"upper","英:/ˈʌpə(r)/ 美:/ˈʌpər/","adj. 上面的，上部的；较高的",
240,"upon","英:/ə'pɒn/ 美:/ə'pɑn/","prep. 在…之上；接近；根据",
241,"upholstery","英:/ʌp'həʊlst(ə)rɪ/ 美:/ʌp'holstəri/","n. 家具装饰业;家具装饰材料",
242,"upholsterer","英:/ʌpˈhəulstərə/ 美:/ʌp'holstərɚ/","n. 室内装潢商; 家具商",
243,"upgrade","英:/ˈʌpɡreɪd/ 美:/ˈʌpɡreɪd/","- vt. 提升；使升级；改良品种
- n. 升级；上坡；上升
- adv. 往上
- adj. 向上的


时 态:  
upgraded, upgrading, upgrades",
244,"update","英:/ˌʌpˈdeɪt/ 美:/ˌʌpˈdeɪt/","- vt. 更新；校正，修正；使现代化
- n. 更新；现代化


时 态:  
updated, updating, updates",
245,"upcoming","英:/ʌp'kʌmɪŋ/ 美:/'ʌpkʌmɪŋ/","adj. 即将来到的, 即将出现的",
246,"up to","","直到,相当于,胜任,该由...决定",
247,"unwell","英:/ʌn'wel/ 美:/ʌn'wɛl/","adj. 生病的；不舒服的",
248,"unwanted","/ˌʌn'wɔntid/","adj. 不需要的；空闲的；讨厌的；有害的",
249,"unsure","英:/ˌʌnˈʃʊə(r)/ 美:/ˌʌnˈʃʊr/","adj. 不确定的；不肯定的；没有自信的",
250,"unsuccessful","英:/ʌnsək'sesfʊl/ 美:/ˌʌnsək'sɛsfl/","adj. 不成功的；失败的

副 词:  
unsuccessfully",
251,"unstable","英:/ʌnˈsteɪbl/ 美:/ʌnˈsteɪbl/","adj. 不稳定的；动荡的；易变的


比较级:  
unstabler, unstablest",
252,"unsatisfied","英:/ʌn'sætɪsfaɪd/ 美:/ʌn'sætɪsfaɪd/","adj. 不满意的,未得到满足的",
253,"unsatisfactory","英:/ˌʌnsætɪs'fækt(ə)rɪ/ 美:/ˌʌn,sætɪs'fæktəri/","- adj. 使人不满意的
- 不符合要求的,不足的

副 词:  
unsatisfactorily",
254,"unrestrained","英:/ʌnrɪ'streɪnd/ 美:/'ʌnrɪ'strend/","- adj. 不受抑制的,无拘束的,不受控制的
- adv. 不受抑制地,无拘束地,不受控制地

副 词:  
unrestrainedly",
255,"unprofessional","英:/ʌnprə'feʃ(ə)n(ə)l/ 美:/ˌʌnprə'fɛʃənl/","- adj. 非专业化的, 外行的
- 违反职业道德标准的",
256,"unprepared","英:/ʌnprɪ'peəd/ 美:/ˌʌnprɪ'pɛrd/","adj. 无准备的,即席的,尚未准备好的",
257,"unpredictable","英:/ˌʌnprɪˈdɪktəbl/ 美:/ˌʌnprɪˈdɪktəbl/","- adj. 无法预言的, 不可预测的
- 捉摸不透的, 不稳定的, 反复无常的

名 词:  
unpredictability",
258,"unpaid","英:/ʌn'peɪd/ 美:/ˌʌn'ped/","adj. 未付款的；未缴纳的；无报酬的",
259,"unnecessary","英:/ʌn'nesəs(ə)rɪ/ 美:/ʌn'nɛsə'sɛri/","adj. 不必要的, 多余的

副 词:  
unnecessarily",
260,"unmarried","英:/ʌn'mærɪd/ 美:/ˌʌn'mærɪd/","adj. 未婚的;独身的",
261,"unlikely","英:/ʌnˈlaɪkli/ 美:/ʌnˈlaɪkli/","- adj. 不太可能的；没希望的
- adv. 未必


比较级:  
unlikelier, unlikeliest 

名 词:  
unlikeliness",
262,"unlike","英:/ʌn'laɪk/ 美:/'ʌn'laɪk/","- prep. (表示属性)与…不像，与…不同；非…的特点
- adj. 不同的，相异的，不相似的",
263,"unless","英:/ʌn'les/ 美:/ən'lɛs/","- conj. 除非，如果不
- prep. 除…之外",
264,"unknown","英:/ʌn'nəʊn/ 美:/ˌʌn'non/","- adj. 未知的；陌生的，默默无闻的
- n. 未知的事物，默默无闻的人；[数]未知数",
265,"university","英:/ˌjuːnɪˈvɜːsəti/ 美:/ˌjuːnɪˈvɜːrsəti/","- n. （综合性）大学；高等学府",
266,"united","英:/juˈnaɪtɪd/ 美:/juˈnaɪtɪd/","- adj. 联合的, 一致的, 团结的
- 政体联合的",
267,"unit","英:/ˈjuːnɪt/ 美:/ˈjuːnɪt/","- n. (工作)单位
- (计量或计数用的)单位
- (课本中的)单元
- (特定功能的)装置",
268,"unique","英:/juˈniːk/ 美:/juˈniːk/","- adj. 唯一的，独一无二的；独特的，稀罕的
- n. 独一无二的人或物


副 词:  
uniquely

名 词:  
uniqueness",
269,"uniform","英:/ˈjuːnɪfɔːm/ 美:/ˈjuːnɪfɔːrm/","- n. 制服
- adj. 全都相同的, 一律的, 清一色的

时 态:  
uniformed, uniforming, uniforms 

副 词:  
uniformly",
270,"unhealthy","英:/ʌn'helθɪ/ 美:/ʌn'hɛlθi/","- adj. 不健康的，身体不好的，身心不健全的
- 对健康有害的，不卫生的
- 显得不健康的，显出病态的
- 反常的；病态的
- 处境危险的；冒险的

比较级:  
unhealthier，unhealthiest 

副 词:  
unhealthily

名 词:  
unhealthiness",
271,"unhappy","英:/ʌn'hæpɪ/ 美:/ʌn'hæpi/","adj. 不幸福的；不快乐的；不适当的


比较级:  
unhappier, unhappiest 

副 词:  
unhappily

名 词:  
unhappiness",
272,"unfounded","英:/ʌnˈfaʊndɪd/ 美:/ʌnˈfaʊndɪd/","- adj. 无事实根据的;无基础的
- 未建立的；未确定的",
273,"unfortunately","/ʌn'fɔrtʃənətli/","adv. 遗憾地, 不幸地",
274,"unfortunate","英:/ʌn'fɔːtʃ(ə)nət/ 美:/ʌn'fɔrtʃənət/","- adj. 不幸的，倒霉的；时运不佳的；不成功的
- 可叹的，令人遗憾的
- 不合适的，粗野的，不得体的
- n. 不幸的人

副 词:  
unfortunately",
275,"unforeseen","英:/ʌnfɔː'siːn/ 美:/ˌʌnfɔr'sin/","adj. 未预见到的, 意料之外的",
276,"unfavorable","英:/ʌnˈfeɪvərəbəl/ 美:/ʌn'fevrəbl/","- adj. 不利的;不适宜的;不顺利的
- 相反的;反对的
- 令人不快的
- 不吉利的

副 词:  
unfavorably",
277,"unfamiliar","英:/ʌnfə'mɪlɪə/ 美:/ˌʌnfə'mɪlɪɚ/","- adj. 不熟悉的;不常见的;陌生的
- 对某事物不了解或是不熟悉的",
278,"unexpectedly","英:/'ʌnik'spektidli/ 美:/ˌ ʌnɪkˈsp ɛktɪdlɪ/","adv. 未料到地,意外地",
279,"unexpected","英:/ʌnɪk'spektɪd/ 美:/'ʌnɪk'spɛktɪd/","adj. 没有料想到的, 意外的, 突如其来的

副 词:  
unexpectedly",
280,"undisclosed","/ˌʌndis'kləuzd/","adj. 未公开(报道)的;秘密的；身份不明的",
281,"underutilize","/ʌndə'juːtɪlaɪz/","vt. 未充分使用",
282,"understood","英:/ʌndə'stʊd/ 美:/ˌʌndɚˈstʊd/","- understand的过去式和过去分词
- (尤指用另一种语言)把自己的意思表达清楚，使别人明白自己的意思",
283,"understanding","英:/ˌʌndəˈstændɪŋ/ 美:/ˌʌndərˈstændɪŋ/","- n. 了解；相互理解，谅解；(非正式)协议
- 理解(力)；认识
- adj. 体谅的；谅解的；通情达理的

副 词:  
understandingly",
284,"understand","英:/ʌndə'stænd/ 美:/'ʌndɚ'stænd/","- vt. & vi. 懂；理解
- vt. 听说，获悉；知道，认为

时 态:  
understood 
understanding，understands 

名 词:  
understandability

形容词:  
understandable

副 词:  
understandably",
285,"underselling","","",
286,"underpass","英:/'ʌndəpɑːs/ 美:/'ʌndɚ'pæs/","n. 地下通道",
287,"underneath","英:/ˌʌndəˈniːθ/ 美:/ˌʌndərˈniːθ/","- prep. 在…下面；在…底下
- adv. 在下面[底下]
- n. 底面，底部",
288,"underground","英:/ˌʌndəˈɡraʊnd/ 美:/ˌʌndərˈɡraʊnd/","- adj. 地下的
- 地下组织的, 秘密的
- adv. 在地下
- 秘密地
- n. 地铁
- 地下组织或活动

时 态:  
undergrounded, undergrounding, undergrounds",
289,"undergoing","","",
290,"undergo","英:/ˌʌndəˈɡəʊ/ 美:/ˌʌndərˈɡoʊ/","vt. 经历，经受；忍受


时 态:  
underwent 
undergone 
undergoing, undergoes",
291,"unconsciously","英:/ʌn'kɔnʃəsli/ 美:/ʌnˈk ɑnʃəslɪ/","- adv. 未意识到地；不知道地
- 失去知觉地；神志不清地
- 无意识地，下意识地",
292,"uncommon","英:/ʌn'kɒmən/ 美:/ʌn'kɑmən/","- adj. 不寻常的；罕有的
- adv. 非常地


比较级:  
uncommoner, uncommonest 

副 词:  
uncommonly",
293,"uncomfortable","英:/ʌn'kʌmf(ə)təb(ə)l/ 美:/ʌn'kʌmftəbl/","- adj. 不舒服的
- 令人不舒服的;令人不舒适的
- 不安的;不自在的

名 词:  
uncomfortableness

副 词:  
uncomfortably",
294,"unclear","英:/ʌn'klɪə/ 美:/ˌʌn'klɪr/","adj. 不清楚的，含糊的；难以理解的

比较级:  
unclearer，unclearest",
295,"unchanged","英:/ʌnˈtʃeɪndʒd/ 美:/ʌn'tʃendʒd/","adj. 未改变的;无变化的",
296,"unboxed","","",
297,"unbiased","英:/ʌnˈbaɪəst/ 美:/ʌnˈbaɪəst/","adj. 无偏见的；公正的


名 词:  
unbiasedness",
298,"unbelievable","英:/ʌnbɪ'liːvəb(ə)l/ 美:/ˌʌnbɪ'livəbl/","- adj. 不可相信的;站不住脚的
- (由于太好或太糟而)令人难以置信的;非常惊人的

副 词:  
unbelievably",
299,"unbearably","英:/ˌʌn'beərəbli/ 美:/ʌnˈb ɛrəblɪ/","adv. 不能忍受地;无法容忍地",
300,"unavailable","英:/ʌnə'veɪləb(ə)l/ 美:/'ʌnə'veləbl/","adj. 难以获得的

名 词:  
unavailability",
